ID,Exchange,Instrument,Market Active?,REST API root,Search helper
1892,binance,cloaketh,FALSE,https://api.cryptowat.ch/markets/binance/cloaketh,binance cloaketh
2124,binance,cmtbnb,true,https://api.cryptowat.ch/markets/binance/cmtbnb,binance cmtbnb
1893,binance,cmtbtc,true,https://api.cryptowat.ch/markets/binance/cmtbtc,binance cmtbtc
1894,binance,cmteth,true,https://api.cryptowat.ch/markets/binance/cmteth,binance cmteth
1895,binance,cndbnb,true,https://api.cryptowat.ch/markets/binance/cndbnb,binance cndbnb
1788,binance,cndbtc,true,https://api.cryptowat.ch/markets/binance/cndbtc,binance cndbtc
1643,binance,cndeth,true,https://api.cryptowat.ch/markets/binance/cndeth,binance cndeth
61028,binance,cocosbnb,true,https://api.cryptowat.ch/markets/binance/cocosbnb,binance cocosbnb
61029,binance,cocosbtc,true,https://api.cryptowat.ch/markets/binance/cocosbtc,binance cocosbtc
61030,binance,cocosusdt,true,https://api.cryptowat.ch/markets/binance/cocosusdt,binance cocosusdt
60885,binance,cosbnb,true,https://api.cryptowat.ch/markets/binance/cosbnb,binance cosbnb
60886,binance,cosbtc,true,https://api.cryptowat.ch/markets/binance/cosbtc,binance cosbtc
60887,binance,cosusdt,true,https://api.cryptowat.ch/markets/binance/cosusdt,binance cosusdt
61936,binance,cotibnb,true,https://api.cryptowat.ch/markets/binance/cotibnb,binance cotibnb
61937,binance,cotibtc,true,https://api.cryptowat.ch/markets/binance/cotibtc,binance cotibtc
61938,binance,cotiusdt,true,https://api.cryptowat.ch/markets/binance/cotiusdt,binance cotiusdt
61469,binance,ctxcbnb,true,https://api.cryptowat.ch/markets/binance/ctxcbnb,binance ctxcbnb
61470,binance,ctxcbtc,true,https://api.cryptowat.ch/markets/binance/ctxcbtc,binance ctxcbtc
61471,binance,ctxcusdt,true,https://api.cryptowat.ch/markets/binance/ctxcusdt,binance ctxcusdt
1898,binance,cvcbnb,FALSE,https://api.cryptowat.ch/markets/binance/cvcbnb,binance cvcbnb
1240,binance,cvcbtc,true,https://api.cryptowat.ch/markets/binance/cvcbtc,binance cvcbtc
1241,binance,cvceth,true,https://api.cryptowat.ch/markets/binance/cvceth,binance cvceth
60956,binance,cvcusdt,true,https://api.cryptowat.ch/markets/binance/cvcusdt,binance cvcusdt
59440,binance,dashbnb,true,https://api.cryptowat.ch/markets/binance/dashbnb,binance dashbnb
607,binance,dashbtc,true,https://api.cryptowat.ch/markets/binance/dashbtc,binance dashbtc
61831,binance,dashbusd,true,https://api.cryptowat.ch/markets/binance/dashbusd,binance dashbusd
608,binance,dasheth,true,https://api.cryptowat.ch/markets/binance/dasheth,binance dasheth
